Chemical name,Brand name (from Health Canada),Strength,Dosage form,DIN/NPN,Manufacturer
glycerin suppository,GLYCERIN SUPPOSITORIES,90%,supp rect,00873462,"Rougier Pharma, a 
division of Teva Canada Ltd."
glycerin suppository,JAMP GLYCERIN SUPPOSITORY ADULT,2100 mg,supp rect,80029765,JAMP Pharma Corp.
glycerin suppository,GLYCERIN SUPPOSITORIES (ADULT SIZE) 2600MG; COLACE GLYCERIN,2600 mg,supp rect,01926039,"McNeil Consumer 
Healthcare"
glycerin suppository pediatric,GLYCERIN SUPPOSITORIES,90%,supp rect,02020815,"Rougier Pharma, a 
division of Teva Canada Ltd."
glycerin suppository pediatric,GLYCERIN SUPPOSITORIES FOR INFANTS & CHILDREN; COLACE GLYCERIN,1440 mg,supp rect,01926047,"McNeil Consumer 
Healthcare"
gramicidin D/polymyx B sulf,OPTIMYXIN,"0.025 mg/mL 
10000 unit/mL",drops,00701785,Euro-Pharm International Canada Inc.
gramicidin D/polymyx B sulf,POLYSPORIN EYE AND EAR DROPS STERILE,"0.025 mg/mL 
10000 unit/mL",drops,02239156,Johnson & Johnson Inc.
gramicidin D/polymyx B sulf,POLYSPORIN ANTIBIOTIC CREAM,"0.25 mg/g 
10000 unit/g",cream,02230844,Johnson & Johnson Inc.
hydrocortidone acetate,HYDERM CREAM 1%,1%,cream,00716839,Taro Pharmaceuticals Inc.
hydrocortisone,CORTATE CREAM 0.5%,0.50%,cream,80021088,Bayer Inc.
hydrocortisone,HYDROSONE CREAM,0.50%,cream,00564281,"Rougier Pharma, a 
division of Teva Canada Ltd."
hydrocortisone,CORTATE OINTMENT USP 0.5%; HYDROCORTISONE OINTMENT USP 0.5%,0.50%,oint (g),00716685,Taro Pharmaceuticals Inc.
hydrocortisone,CELL-HYDROCORTISONE CREAM 1%,1%,cream,80073687,"CellChem 
Pharmaceuticals Inc."
hydrocortisone,JAMP-HYDROCORTISONE CREAM 1%,1%,cream,80057189,"Jamp Pharma 
Corporation"
hydrocortisone,JAMP-HYDROCORTISONE LOTION 1%,1%,lotion,80057191,"Jamp Pharma 
Corporation"
hydrocortisone,JAMP-HYDROCORTISONE OINTMENT 1%,1%,oint (g),80057193,"Jamp Pharma 
Corporation"
hydrocortisone,M-HC 1% CREAM,1%,cream,80066164,Mantra Pharma Inc.
hydrocortisone,SANDOZ HYDROCORTISONE CREAM 1%,1%,cream,02412926,Sandoz Canada Inc.
hydrocortisone,CORTODERM OINTMENT 1%,1%,oint (g),00716693,Taro Pharmaceuticals Inc.
hydrocortisone acetate,"JAMP-HC CREAM 1%; JAMP 
HYDROCORTISONE ACETATE 1%",1%,cream,80057178,"Jamp Pharma 
Corporation"
hydrocortisone acetate/urea,DERMAFLEX HC 1% LOTION,1%-10%,lotion,00681997,Paladin Labs Inc.
hydrocortisone/pramoxine,PRAMOX HC CREAM,1%-1%,cream,00770957,"Dermtek 
Pharmaceutique Ltee"
hydrocortisone/urea,Jamp-Hydrocortisone Acetate 1% Urea 10% Cream,1%/10%,cream (g),80061501,Jamp Pharma Corp.
hydroxypropyl cellulose,LACRISERT,5 mg,insert,02250624,"Bausch Health, Canada Inc."
hyoscine,Accel-Hyoscine,10 mg,tablet,02512335,Accel Pharma Inc.
hypromellose,GENTEAL,0.30%,solution,02231289,Alcon Canada Inc.
hypromellose,ISOPTO TEARS 0.5%,0.50%,solution,00000809,Alcon Canada Inc.
hypromellose,ISOPTO TEARS 1%,1%,solution,00000817,Alcon Canada Inc.
ibuprofen,APO-IBUPROFEN,200 mg,tablet,00441643,Apotex Inc.
ibuprofen,APO-IBUPROFEN,400 mg,tablet,00506052,Apotex Inc.
ibuprofen,CHILDREN'S ADVIL,100 mg/5 mL,oral susp,02232297,GlaxoSmithKline
ibuprofen,INFANT'S MOTRIN,40 mg/mL,drops,02238626,"McNeil Consumer 
Healthcare"
ibuprofen,CHILDREN'S MOTRIN,100 mg/5 mL,oral susp,02242365,"McNeil Consumer 
Healthcare"
ibuprofen,JUNIOR STRENGTH ADVIL,100 mg,tab chew,02246403,GlaxoSmithKline
ibuprofen,JAMP-IBUPROFEN,200 mg,tablet,02257912,"Jamp Pharma 
Corporation"
